event_id,event_date,event_type,location,venue_capacity,ticket_price_lkr,promotion_days,registered_attendees,social_media_reach,previous_event_attendance,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,weather_condition,day_of_week,is_weekend,is_public_holiday,duration_hours,actual_attendance,attendance_rate_pct
EVT01300,2024-01-10,Exhibition,Negombo,100,500,85,61,65680,33,29.8,89,8.6,16,Rain,Wednesday,0,0,6.3,105,172.13
EVT01056,2024-01-10,Conference,Ratnapura,2000,2000,23,697,94018,1166,24.3,77,18.2,6.5,Rain,Wednesday,0,0,7.2,639,91.68
EVT00142,2024-01-10,Cultural Festival,Ratnapura,1000,750,22,613,81409,268,27.5,64,3,8.5,Cloudy,Wednesday,0,0,6.9,729,118.92
EVT00782,2024-01-10,Religious Event,Anuradhapura,5000,500,69,3762,48065,2690,30.1,81,19.3,17.4,Rain,Wednesday,0,1,5.2,3397,90.3
EVT01136,2024-01-10,Cultural Festival,Nuwara Eliya,5000,500,25,2245,951,4106,23,69,6.6,7.3,Clear,Wednesday,0,0,4.4,2271,101.16
EVT01847,2024-01-11,Conference,Anuradhapura,500,3000,76,233,56746,208,27.9,79,1.6,2.9,Clear,Thursday,0,1,5.9,379,162.66
EVT00987,2024-01-12,School Event,Nuwara Eliya,500,250,8,338,58898,189,18.9,93,28.3,15.2,Heavy Rain,Friday,0,0,4.3,122,36.09
EVT00073,2024-01-12,Exhibition,Nuwara Eliya,300,250,21,204,53079,195,20.9,69,8.6,14.5,Rain,Friday,0,0,2,160,78.43
EVT01993,2024-01-12,Exhibition,Colombo,100,2000,28,11,54237,37,29.2,75,5.7,8.7,Clear,Friday,0,0,4.9,105,954.55
EVT01931,2024-01-12,Conference,Colombo,500,250,7,290,10968,203,30.7,66,15.8,14.2,Rain,Friday,0,0,3.2,295,101.72
EVT00220,2024-01-12,Community Event,Colombo,100,3000,38,66,39224,57,26.7,64,3.2,16.2,Clear,Friday,0,0,4.6,105,159.09
EVT02307,2024-01-13,Perahera,Kandy,1500,1500,27,179,77668,940,31,65,13.4,9,Rain,Saturday,1,0,2.5,467,260.89
EVT00620,2024-01-13,Religious Event,Nuwara Eliya,750,3000,23,104,6950,371,20.2,77,18.3,12.1,Rain,Saturday,1,0,7.1,346,332.69
EVT00483,2024-01-13,University Event,Nuwara Eliya,100,250,39,51,96799,84,16.4,70,0.8,17.9,Clear,Saturday,1,0,2.5,105,205.88
EVT02003,2024-01-14,Workshop,Anuradhapura,750,2000,40,152,18499,248,27.2,98,1.6,7.3,Cloudy,Sunday,1,1,7.7,236,155.26
EVT01905,2024-01-14,Cultural Festival,Galle,3000,250,9,1013,6196,1730,21.7,61,0.9,9.6,Clear,Sunday,1,0,3.2,961,94.87
EVT00123,2024-01-16,Perahera,Galle,200,1000,23,64,16788,151,28.5,92,2.6,11.5,Cloudy,Tuesday,0,0,7.7,210,328.12
EVT01102,2024-01-17,Workshop,Negombo,100,3000,54,87,84244,50,25.6,98,10.7,8.9,Rain,Wednesday,0,0,2.8,105,120.69
EVT00785,2024-01-17,Religious Event,Kandy,1500,1500,52,1037,2938,957,28.8,74,10.8,13.1,Rain,Wednesday,0,0,3.8,971,93.64
EVT02106,2024-01-17,Community Event,Negombo,1500,2000,6,418,78417,1274,30,75,16.1,18,Rain,Wednesday,0,0,6.2,243,58.13
EVT01540,2024-01-17,Religious Event,Anuradhapura,1500,1500,34,344,78276,992,25.9,79,10.7,15.6,Rain,Wednesday,0,0,5.1,771,224.13
EVT01748,2024-01-18,Perahera,Matara,300,1500,81,74,47067,22,22.4,75,14.1,16.8,Rain,Thursday,0,0,1.6,288,389.19
EVT00197,2024-01-18,Exhibition,Kegalle,500,500,64,328,93536,446,32.1,97,8,2,Rain,Thursday,0,0,2.4,365,111.28
EVT00282,2024-01-18,Religious Event,Nuwara Eliya,500,3000,78,186,40615,148,20.4,74,28.3,11.2,Heavy Rain,Thursday,0,0,4,255,137.1
EVT00801,2024-01-18,Exhibition,Anuradhapura,300,3000,67,143,26879,144,27.9,80,5.4,8.3,Clear,Thursday,0,0,7.7,315,220.28
EVT00469,2024-01-19,Sports Event,Negombo,300,0,38,204,78002,156,24.4,64,10.9,12.9,Rain,Friday,0,0,7,296,145.1
EVT00213,2024-01-19,Community Event,Galle,100,500,21,34,75926,75,27.2,79,24,9.7,Rain,Friday,0,0,4.2,105,308.82
EVT01763,2024-01-20,School Event,Matara,1000,0,71,422,60289,608,29.4,69,4.3,13.5,Clear,Saturday,1,0,2,414,98.1
EVT01209,2024-01-20,University Event,Negombo,200,1500,4,71,27975,118,28,56,20.2,9.5,Rain,Saturday,1,0,3.1,162,228.17
EVT00106,2024-01-20,School Event,Ratnapura,1000,500,28,647,60296,414,27,63,20.6,10.7,Rain,Saturday,1,0,2.2,412,63.68
EVT01291,2024-01-21,Perahera,Kurunegala,2000,2000,81,726,28421,1295,31.7,80,13,11.1,Rain,Sunday,1,0,5.2,854,117.63
EVT00956,2024-01-21,Conference,Anuradhapura,1000,500,40,525,48441,365,25.3,75,15.3,19.3,Rain,Sunday,1,0,3,322,61.33
EVT02113,2024-01-22,Religious Event,Anuradhapura,3000,1500,57,1211,56985,359,30.5,75,5.9,10.3,Clear,Monday,0,0,2,990,81.75
EVT01148,2024-01-23,Sports Event,Nuwara Eliya,750,1000,21,412,57772,450,17.8,64,21.5,12.8,Rain,Tuesday,0,1,7.2,425,103.16
EVT00724,2024-01-24,Perahera,Nuwara Eliya,1500,2000,30,858,20014,1074,18.5,76,19.9,12.3,Rain,Wednesday,0,0,5.9,780,90.91
EVT00563,2024-01-24,Workshop,Anuradhapura,100,250,22,54,41383,42,27.5,53,1.3,9.2,Cloudy,Wednesday,0,0,5.4,83,153.7
EVT01674,2024-01-24,Community Event,Kegalle,100,1500,27,54,33735,35,26.2,59,17.3,25.4,Rain,Wednesday,0,1,2.2,105,194.44
EVT01762,2024-01-25,Religious Event,Kurunegala,750,2000,48,166,48695,332,23.6,63,49.3,15,Heavy Rain,Thursday,0,0,3.6,153,92.17
EVT02463,2024-01-26,Community Event,Ratnapura,3000,1500,90,2001,68820,2066,28.3,70,2.7,18.9,Clear,Friday,0,0,6.4,1352,67.57
EVT01150,2024-01-26,Workshop,Ratnapura,3000,500,71,2442,70888,3010,26.3,72,30.5,3.7,Heavy Rain,Friday,0,0,2.5,393,16.09
EVT01742,2024-01-26,Sports Event,Matara,1500,1500,84,989,85167,818,24.8,60,9.2,11,Rain,Friday,0,0,2.4,569,57.53
EVT01360,2024-01-26,Workshop,Nuwara Eliya,1000,250,89,322,78116,429,18.7,86,11.2,9.7,Rain,Friday,0,0,6,407,126.4
EVT00440,2024-01-26,Community Event,Matara,100,3000,33,28,3478,46,24.7,66,1.1,19.1,Clear,Friday,0,0,7,105,375
EVT01517,2024-01-27,Exhibition,Nuwara Eliya,100,500,12,33,9548,63,22.5,58,9.8,12.7,Rain,Saturday,1,0,4.4,105,318.18
EVT02327,2024-01-27,Sports Event,Ratnapura,750,0,10,256,39023,300,29.9,91,30,5,Heavy Rain,Saturday,1,0,2.8,289,112.89
EVT01491,2024-01-27,Perahera,Matara,1000,1500,16,628,87863,485,26.7,73,9.7,6.1,Rain,Saturday,1,0,5,774,123.25
EVT02130,2024-01-29,Music Festival,Matara,500,3000,36,209,6730,223,25.1,77,12.5,10.9,Rain,Monday,0,0,1.8,274,131.1
EVT01619,2024-01-30,School Event,Colombo,3000,3000,28,1845,67760,1219,24.7,72,11,11.2,Rain,Tuesday,0,1,4.9,785,42.55
EVT00729,2024-01-31,School Event,Kandy,1500,1500,22,505,6217,396,26.9,63,18.9,6.8,Rain,Wednesday,0,0,6.4,214,42.38
EVT00417,2024-01-31,University Event,Colombo,500,250,90,119,43365,370,28.1,74,11.4,9.8,Rain,Wednesday,0,0,6.8,264,221.85
EVT00422,2024-01-31,Exhibition,Ratnapura,2000,3000,59,1622,35657,1630,30.2,67,1.1,11.9,Clear,Wednesday,0,0,3.9,1260,77.68
EVT00554,2024-02-01,Workshop,Galle,5000,0,56,2738,79153,1850,33.5,58,5.6,20,Clear,Thursday,0,1,4.4,1874,68.44
EVT01503,2024-02-01,Exhibition,Colombo,200,0,59,59,96775,139,32.9,96,10.2,15.5,Rain,Thursday,0,0,8,210,355.93
EVT01185,2024-02-01,Exhibition,Matara,200,250,23,156,96059,84,29.6,80,9.3,12.4,Rain,Thursday,0,0,5.8,210,134.62
EVT00892,2024-02-01,Perahera,Anuradhapura,100,1000,25,74,12146,94,25.5,67,11,21.1,Rain,Thursday,0,1,4.8,105,141.89
EVT00409,2024-02-01,University Event,Galle,750,1000,48,562,61865,256,27.7,94,0.9,12.5,Clear,Thursday,0,0,7.6,480,85.41
EVT02018,2024-02-01,Community Event,Anuradhapura,1500,1000,60,792,48482,373,28.2,81,6.7,2.5,Cloudy,Thursday,0,0,6.3,528,66.67
EVT00556,2024-02-03,Music Festival,Kandy,3000,2000,28,1469,62733,1279,26.7,87,4,6.2,Clear,Saturday,1,0,4.6,2131,145.06
EVT00842,2024-02-03,Religious Event,Kandy,3000,1000,43,1424,46705,1607,30.8,64,10.7,21.8,Rain,Saturday,1,0,2,1949,136.87
EVT02249,2024-02-03,Perahera,Anuradhapura,500,1500,25,404,87638,336,24.5,86,4.1,8.6,Cloudy,Saturday,1,0,3.9,525,129.95
EVT00514,2024-02-03,University Event,Ratnapura,300,1000,71,95,79092,188,29,77,6.2,15.6,Clear,Saturday,1,0,5.4,315,331.58
EVT01860,2024-02-03,Religious Event,Ratnapura,300,750,11,142,1243,149,26.9,76,7.4,6.3,Clear,Saturday,1,0,3.2,315,221.83
EVT02107,2024-02-05,Community Event,Colombo,3000,3000,50,1741,59382,1900,26.5,89,9.5,24.7,Rain,Monday,0,1,5.9,1398,80.3
EVT00988,2024-02-05,Sports Event,Kurunegala,3000,2000,13,1031,76440,2404,28.5,76,7.5,10.9,Clear,Monday,0,0,5.4,1198,116.2
EVT00676,2024-02-05,School Event,Kurunegala,200,750,20,132,943,144,29.9,70,14,11.7,Rain,Monday,0,0,7.6,137,103.79
EVT01636,2024-02-06,Workshop,Colombo,300,750,74,132,55857,143,22.5,87,14.8,19.6,Rain,Tuesday,0,0,3.4,199,150.76
EVT02276,2024-02-06,Workshop,Anuradhapura,100,1500,77,57,42080,44,28.6,67,10,12.7,Rain,Tuesday,0,0,3.5,105,184.21
EVT00011,2024-02-06,Community Event,Kegalle,3000,0,21,2061,13374,2307,30.1,92,15.1,11.2,Rain,Tuesday,0,0,3.5,151,7.33
EVT01708,2024-02-06,Conference,Colombo,750,3000,60,101,26323,496,26.2,68,2.9,14.7,Clear,Tuesday,0,0,3.5,329,325.74
EVT00683,2024-02-07,University Event,Anuradhapura,200,0,64,129,2564,34,27.5,75,3.9,13.3,Cloudy,Wednesday,0,0,4.6,210,162.79
EVT00013,2024-02-07,Workshop,Galle,1000,3000,29,623,40290,308,24.5,74,3.2,16.9,Clear,Wednesday,0,0,7.6,349,56.02
EVT02491,2024-02-08,Community Event,Colombo,100,0,36,52,9555,64,20.7,67,38.9,9.5,Heavy Rain,Thursday,0,0,2.3,53,101.92
EVT00170,2024-02-08,Perahera,Kurunegala,1500,2000,54,244,5539,638,27.4,81,1.7,10.1,Clear,Thursday,0,0,3.7,558,228.69
EVT01965,2024-02-08,Exhibition,Matara,500,3000,53,399,58540,172,25.9,70,24.9,21,Rain,Thursday,0,0,3.8,343,85.96
EVT02024,2024-02-08,Exhibition,Colombo,5000,750,57,2386,98641,4148,23,70,1.6,9.5,Clear,Thursday,0,1,3.1,2672,111.99
EVT01850,2024-02-09,Religious Event,Kandy,100,1500,40,62,39171,65,30.7,55,12.6,16.1,Rain,Friday,0,1,2.1,105,169.35
EVT00975,2024-02-09,Workshop,Negombo,200,3000,10,75,17605,184,28.8,97,10.4,12.5,Rain,Friday,0,0,2.7,140,186.67
EVT02373,2024-02-09,Exhibition,Colombo,5000,2000,12,1874,62515,2293,34.1,84,5.5,9.6,Clear,Friday,0,0,5,2292,122.31
EVT00688,2024-02-10,Cultural Festival,Kurunegala,750,250,10,434,32822,113,25.7,51,8.1,10.6,Rain,Saturday,1,0,5.8,463,106.68
EVT01151,2024-02-11,Conference,Kegalle,3000,3000,6,1636,72274,1747,23.6,55,10.2,2.1,Rain,Sunday,1,0,7,911,55.68
EVT00041,2024-02-11,University Event,Kandy,2000,3000,41,1359,40211,426,27.1,75,32.6,10.8,Heavy Rain,Sunday,1,0,7.4,725,53.35
EVT00191,2024-02-12,Religious Event,Anuradhapura,500,1500,40,338,3755,381,28.7,68,11.4,13,Rain,Monday,0,0,1.9,438,129.59
EVT00769,2024-02-12,Music Festival,Matara,200,1500,62,150,77699,158,27.9,71,3.1,11.8,Cloudy,Monday,0,0,4,210,140
EVT01514,2024-02-12,Workshop,Colombo,100,0,23,56,57207,27,31.2,64,9.3,2.7,Rain,Monday,0,0,7.9,105,187.5
EVT00269,2024-02-12,Exhibition,Nuwara Eliya,100,1000,16,69,35833,37,19,87,13,10.6,Rain,Monday,0,0,3.4,105,152.17
EVT01108,2024-02-13,University Event,Kegalle,2000,1000,64,1164,67870,854,27.7,66,23.6,6.9,Rain,Tuesday,0,0,4.9,665,57.13
EVT01717,2024-02-13,Sports Event,Kandy,5000,2000,72,1978,74236,3458,26.8,65,18.9,11.1,Rain,Tuesday,0,0,6.8,2321,117.34
EVT00487,2024-02-13,Conference,Nuwara Eliya,500,0,90,281,20159,155,21,86,2.6,15.2,Clear,Tuesday,0,0,6.7,305,108.54
EVT00202,2024-02-13,Sports Event,Kandy,3000,3000,17,1495,93563,1696,26,69,24.4,9.6,Rain,Tuesday,0,0,2.3,1198,80.13
EVT01495,2024-02-13,Religious Event,Kurunegala,100,0,76,80,25091,74,25.7,81,15.1,13.8,Rain,Tuesday,0,0,6.9,105,131.25
EVT02006,2024-02-14,School Event,Kegalle,1000,1500,18,660,20747,447,27.4,65,8,9.9,Rain,Wednesday,0,0,5.6,250,37.88
EVT02368,2024-02-14,Perahera,Negombo,5000,2000,26,1492,65953,2550,28,67,41.2,14.9,Heavy Rain,Wednesday,0,0,7.1,1073,71.92
EVT01934,2024-02-14,Religious Event,Nuwara Eliya,5000,2000,67,2518,1672,3041,22.2,87,3.1,15.2,Clear,Wednesday,0,0,3.8,2360,93.73
EVT00480,2024-02-14,Community Event,Kurunegala,100,0,19,68,78710,54,27.7,82,14.9,23.5,Rain,Wednesday,0,1,4.7,105,154.41
EVT00573,2024-02-14,Perahera,Anuradhapura,500,500,65,239,59341,231,23.3,63,47.2,10.1,Heavy Rain,Wednesday,0,0,4.3,282,117.99
EVT01421,2024-02-14,Conference,Colombo,500,1500,63,341,42060,355,29.9,76,17.7,7.9,Rain,Wednesday,0,0,4.6,375,109.97
EVT01948,2024-02-15,Religious Event,Anuradhapura,2000,1500,81,1348,75206,1142,30.3,89,13.7,16.6,Rain,Thursday,0,1,7.4,1432,106.23
EVT00360,2024-02-15,Workshop,Ratnapura,500,500,80,209,40101,121,26.6,69,10.5,12,Rain,Thursday,0,0,1.9,140,66.99
EVT00773,2024-02-15,Perahera,Colombo,5000,2000,29,3805,89542,2500,27.8,82,14.7,13.1,Rain,Thursday,0,0,6.6,3497,91.91
EVT00867,2024-02-16,Exhibition,Nuwara Eliya,500,1000,77,367,45539,358,16.8,98,18.9,11,Rain,Friday,0,0,6.3,310,84.47
EVT01207,2024-02-16,University Event,Nuwara Eliya,750,3000,64,594,80458,490,17.9,71,34.3,12.9,Heavy Rain,Friday,0,0,6.6,261,43.94
EVT02334,2024-02-16,Exhibition,Kurunegala,3000,1500,8,886,40505,2838,27.1,76,17.6,6.5,Rain,Friday,0,0,1.7,606,68.4
EVT00622,2024-02-16,Music Festival,Galle,750,500,81,191,12064,530,28.4,74,6.9,4.8,Cloudy,Friday,0,0,4.2,550,287.96
EVT00324,2024-02-16,Music Festival,Kandy,750,250,46,495,4395,350,25.3,68,11.1,12.7,Rain,Friday,0,0,6.8,620,125.25
EVT01870,2024-02-17,Cultural Festival,Negombo,200,250,13,70,78859,56,31.2,54,5,13,Clear,Saturday,1,0,3.8,210,300
EVT02467,2024-02-18,Religious Event,Kandy,2000,1500,36,701,93095,903,31.6,89,3.7,7.2,Clear,Sunday,1,0,2.1,1322,188.59
EVT01160,2024-02-18,Community Event,Matara,750,1000,36,355,41091,497,25.7,92,17.2,11.4,Rain,Sunday,1,0,3.7,315,88.73
EVT01474,2024-02-18,Conference,Ratnapura,5000,1500,55,1920,47727,2315,26.2,85,2.7,11.5,Clear,Sunday,1,0,1.6,1239,64.53
EVT00615,2024-02-19,Exhibition,Negombo,500,0,69,171,83500,294,28.7,69,1.8,11.8,Clear,Monday,0,1,2.1,463,270.76
EVT00787,2024-02-19,Exhibition,Ratnapura,300,500,14,197,39164,182,29.6,65,21.1,8.5,Rain,Monday,0,0,3.1,229,116.24
EVT01642,2024-02-20,School Event,Ratnapura,200,1500,20,70,15532,74,31.3,62,3.6,15.1,Clear,Tuesday,0,0,2,110,157.14
EVT01821,2024-02-20,Religious Event,Nuwara Eliya,5000,3000,54,1858,28078,1948,17,70,20.2,6.7,Rain,Tuesday,0,0,2.2,889,47.85
EVT00030,2024-02-20,Cultural Festival,Colombo,100,3000,34,10,50422,50,30.9,75,40.9,20.8,Heavy Rain,Tuesday,0,0,2.4,105,1050
EVT00725,2024-02-20,Conference,Kandy,2000,500,79,898,16339,557,30.1,91,4.8,10.5,Clear,Tuesday,0,1,1.7,962,107.13
EVT01718,2024-02-21,Conference,Anuradhapura,1000,3000,22,752,79275,781,28.7,76,4.6,17.6,Cloudy,Wednesday,0,0,2.8,452,60.11
EVT02146,2024-02-21,University Event,Kurunegala,500,500,60,426,40491,223,27.9,88,3.8,12.1,Clear,Wednesday,0,0,6.4,356,83.57
EVT01044,2024-02-21,Perahera,Negombo,1000,3000,56,797,42133,177,28.1,80,4.7,3,Cloudy,Wednesday,0,0,2.9,973,122.08
EVT02259,2024-02-21,School Event,Colombo,200,500,3,119,83413,123,30.3,67,2.6,6.4,Clear,Wednesday,0,0,2.5,210,176.47
EVT00717,2024-02-23,Community Event,Anuradhapura,750,3000,47,308,42436,437,28,62,5.6,5.5,Cloudy,Friday,0,0,8,350,113.64
EVT00184,2024-02-23,Religious Event,Ratnapura,3000,3000,61,2185,22339,2004,28.6,70,23.3,9.9,Rain,Friday,0,0,3.3,1388,63.52
EVT00900,2024-02-23,Perahera,Matara,200,2000,12,91,22909,105,25.9,70,14.2,11.6,Rain,Friday,0,0,4.4,210,230.77
EVT02132,2024-02-23,Perahera,Nuwara Eliya,3000,0,16,682,35945,1886,16.2,87,38.5,6.6,Heavy Rain,Friday,0,0,4.9,965,141.5
EVT00883,2024-02-23,Perahera,Matara,300,3000,80,166,42315,183,31.4,72,6.2,3.9,Cloudy,Friday,0,0,3.4,315,189.76
EVT01808,2024-02-25,Music Festival,Nuwara Eliya,1500,2000,60,971,76680,958,18.4,70,16.8,17.4,Rain,Sunday,1,0,3.9,1058,108.96
EVT00967,2024-02-25,Workshop,Kurunegala,100,500,48,73,65764,66,30.1,91,3.4,2,Clear,Sunday,1,0,2.7,105,143.84
EVT01722,2024-02-25,Sports Event,Kegalle,100,2000,14,55,86523,63,28.1,73,35.7,6.7,Heavy Rain,Sunday,1,0,2.7,105,190.91
EVT00509,2024-02-26,Community Event,Kegalle,1000,750,36,461,37149,740,26.7,64,7,2,Clear,Monday,0,0,3.1,382,82.86
EVT01995,2024-02-26,University Event,Matara,1000,1500,16,903,25565,986,29.6,90,16.4,9.3,Rain,Monday,0,0,3.5,473,52.38
EVT00337,2024-02-26,Community Event,Colombo,5000,1500,22,2354,68549,3747,31,74,6.7,17.8,Clear,Monday,0,0,3,1691,71.84
EVT02271,2024-02-26,Workshop,Negombo,200,0,78,112,2954,101,30.4,83,13.5,8.3,Rain,Monday,0,0,3.1,121,108.04
EVT00872,2024-02-26,Music Festival,Anuradhapura,3000,1000,72,1418,76730,2673,30.9,72,15.8,16.1,Rain,Monday,0,0,5.5,1533,108.11
EVT02434,2024-02-27,Workshop,Nuwara Eliya,1500,500,34,478,25462,1077,23.5,82,34.5,14.5,Heavy Rain,Tuesday,0,0,3.1,143,29.92
EVT00635,2024-02-27,Conference,Colombo,2000,1000,33,1779,24509,534,30.9,90,4.6,16,Clear,Tuesday,0,0,5,1120,62.96
EVT01739,2024-02-28,School Event,Anuradhapura,1500,0,56,928,54895,379,28,66,16.5,7,Rain,Wednesday,0,0,6.6,472,50.86
EVT00596,2024-02-28,Exhibition,Ratnapura,1000,0,83,141,51104,451,26.4,82,7.1,12.8,Cloudy,Wednesday,0,0,6.8,313,221.99
EVT00767,2024-02-28,Workshop,Ratnapura,500,250,84,83,24740,202,29.8,69,14.5,5.6,Rain,Wednesday,0,0,6.6,91,109.64
EVT01767,2024-02-28,University Event,Kegalle,5000,3000,65,2016,61058,3016,29.5,77,2,6.6,Clear,Wednesday,0,0,4.2,1209,59.97
EVT02123,2024-02-29,Perahera,Negombo,3000,1000,34,2547,89033,1508,31.5,65,7,15.6,Clear,Thursday,0,0,3.6,3021,118.61
EVT01129,2024-02-29,Community Event,Nuwara Eliya,3000,1000,16,2218,42366,2141,22.2,75,3.5,9.7,Clear,Thursday,0,0,2,934,42.11
EVT02488,2024-02-29,University Event,Nuwara Eliya,1000,1000,85,198,46964,794,19.8,72,2.6,8.7,Clear,Thursday,0,0,5.4,219,110.61
EVT02234,2024-03-01,Religious Event,Kurunegala,100,2000,20,94,83597,60,30.2,65,7.4,12.9,Clear,Friday,0,0,5.2,105,111.7
EVT02012,2024-03-01,Cultural Festival,Kegalle,500,1500,69,179,66288,334,30.3,92,3.3,12.9,Clear,Friday,0,0,7.2,486,271.51
EVT01427,2024-03-02,Religious Event,Kegalle,3000,2000,6,782,25974,1115,26.6,68,6.1,22.5,Clear,Saturday,1,0,3.8,1223,156.39
EVT00293,2024-03-02,Cultural Festival,Negombo,500,750,21,206,15866,377,26.9,74,7.7,11.6,Cloudy,Saturday,1,0,6.1,421,204.37
EVT02015,2024-03-02,Music Festival,Kandy,3000,3000,32,1334,93065,898,31.5,71,8.8,10.6,Rain,Saturday,1,0,3.5,1287,96.48
EVT01004,2024-03-03,Religious Event,Galle,750,3000,54,336,78604,370,23.6,73,16.6,13.7,Rain,Sunday,1,0,7,565,168.15
EVT00925,2024-03-03,Exhibition,Matara,750,1500,67,228,16065,343,26.1,73,6.1,14.8,Clear,Sunday,1,0,1.8,455,199.56
EVT00815,2024-03-04,Exhibition,Anuradhapura,1500,2000,77,944,24544,1332,30,57,3.8,14.1,Cloudy,Monday,0,1,6.9,974,103.18
EVT02101,2024-03-04,Conference,Kandy,2000,1000,76,985,9214,991,26.7,75,5.3,12.9,Clear,Monday,0,0,5.5,1046,106.19
EVT01133,2024-03-04,Cultural Festival,Kurunegala,1000,0,48,437,30122,482,27.3,87,2.4,11.3,Clear,Monday,0,1,4.2,715,163.62
EVT00749,2024-03-04,School Event,Matara,1000,500,46,183,82560,332,29,63,13.6,6.3,Rain,Monday,0,0,1.9,157,85.79
EVT01637,2024-03-05,Community Event,Galle,750,2000,58,431,54990,505,27.2,96,14,8.6,Rain,Tuesday,0,0,7.8,389,90.26
EVT00557,2024-03-06,Religious Event,Anuradhapura,750,1000,68,460,14165,319,31.2,74,10.6,14.4,Rain,Wednesday,0,0,3.5,479,104.13
EVT02214,2024-03-06,Workshop,Kandy,5000,1000,55,3403,91271,1567,25.3,78,29,9,Heavy Rain,Wednesday,0,0,7.6,1749,51.4
EVT00772,2024-03-07,Music Festival,Galle,3000,3000,33,1101,41696,729,31.9,62,9.9,8.5,Rain,Thursday,0,0,7.3,1626,147.68
EVT01814,2024-03-08,Perahera,Kandy,5000,750,44,2370,53659,1787,30,73,14.7,17.5,Rain,Friday,0,0,6.6,2250,94.94
EVT00319,2024-03-08,Cultural Festival,Negombo,750,250,52,119,47191,327,30.6,89,20.5,11.4,Rain,Friday,0,0,7.9,361,303.36
EVT02062,2024-03-08,School Event,Kegalle,2000,750,19,1622,63386,954,24.3,69,22.8,12.8,Rain,Friday,0,0,7.7,671,41.37
EVT01398,2024-03-08,School Event,Negombo,200,2000,89,123,7584,109,33,77,3.8,18.7,Clear,Friday,0,0,3,210,170.73
EVT02165,2024-03-09,Sports Event,Kurunegala,3000,500,10,621,1946,1777,27.8,73,13.7,16.6,Rain,Saturday,1,0,7.7,868,139.77
EVT00174,2024-03-09,Perahera,Negombo,2000,250,25,689,69963,1155,26.3,85,2.5,5.2,Clear,Saturday,1,0,2.2,1338,194.19
